"Time","value","Sample","Wavelength"
2.790833333,10.03885269,"GuHCl_Denature","214Å"
11.58416667,-2.92634964,"GuHCl_Denature","280Å"
1.970833333,0.1702308655,"Histone_Heat_Denatured","280Å"
10.19083333,0.8268356323,"Histone","280Å"
2.944166667,0.1826286316,"Histone","280Å"
10.02416667,-2.325057983,"GuHCl_Denature","280Å"
10.4775,0.6723403931,"Histone","280Å"
0.8575,0.1096725464,"Histone_Heat_Denatured","280Å"
7.4575,-1.450538635,"Histone_Heat_Denatured","214Å"
11.7775,0.5254745483,"Histone","280Å"
5.670833333,0.2150535583,"Histone","280Å"
13.10416667,0.4315376282,"Histone","280Å"
1.884166667,0.4262924194,"GuHCl_Denature","214Å"
13.19083333,0.8692741394,"GuHCl_Refolded","280Å"
1.110833333,-0.5598068237,"Histone_Heat_Denatured","214Å"
0.6041666667,0.06675720215,"GuHCl_Refolded","280Å"
13.8575,-4.979610443,"GuHCl_Refolded","214Å"
5.064166667,-3.910541534,"Histone","214Å"
7.744166667,0.5650520325,"GuHCl_Refolded","280Å"
12.10416667,0.563621521,"GuHCl_Refolded","280Å"
13.31083333,-2.117156982,"GuHCl_Refolded","280Å"
1.2775,1.473903656,"SEC_Standard","214Å"
6.024166667,-1.111507416,"GuHCl_Denature","214Å"
14.91083333,0.648021698,"Histone_Heat_Denatured","280Å"
5.190833333,-3.868103027,"Histone","214Å"
9.264166667,5.740642548,"SEC_Standard","214Å"
5.0575,-1.890659332,"GuHCl_Denature","280Å"
8.1175,0.4410743713,"GuHCl_Refolded","280Å"
8.4775,1.971244812,"GuHCl_Refolded","214Å"
11.93083333,0.4467964172,"Histone_Heat_Denatured","280Å"
9.230833333,2.376079559,"GuHCl_Refolded","280Å"
5.090833333,-3.937721252,"Histone","214Å"
4.7975,-3.64780426,"GuHCl_Denature","214Å"
1.310833333,-0.6585121155,"Histone_Heat_Denatured","214Å"
10.9375,0.4153251648,"Histone_Heat_Denatured","280Å"
11.1575,2.373218536,"Histone","214Å"
13.8975,-5.120754242,"GuHCl_Refolded","214Å"
3.850833333,0.2264976501,"Histone_Heat_Denatured","280Å"
11.9575,0.5707740784,"GuHCl_Refolded","280Å"
7.370833333,34.03997421,"GuHCl_Refolded","214Å"
12.88416667,-0.9117126465,"GuHCl_Denature","280Å"
7.110833333,-2.384662628,"GuHCl_Denature","280Å"
10.81083333,0.6232261658,"Histone","280Å"
3.7975,0.1111030579,"GuHCl_Refolded","280Å"
7.404166667,45.45402527,"GuHCl_Refolded","214Å"
0.1908333333,-0.2903938293,"GuHCl_Denature","280Å"
8.5975,0.9217262268,"GuHCl_Refolded","214Å"
9.3175,5.884647369,"SEC_Standard","214Å"
6.8575,0.2975463867,"Histone_Heat_Denatured","280Å"
5.044166667,0.2017021179,"Histone","280Å"
3.170833333,-2.947330475,"GuHCl_Refolded","214Å"
2.2575,-0.8029937744,"Histone_Heat_Denatured","214Å"
13.08416667,0.4186630249,"Histone_Heat_Denatured","280Å"
